Tiempo (ms);Ángulo 1
0;7,769641399
17;7,632185936
34;7,179436207
51;6,613722801
68;6,13052702
85;5,623941422
102;4,865917206
119;3,883014679
136;2,937868118
153;2,126137018
170;1,237131834
187;0,122599334
204;-1,050651908
221;-2,04925251
238;-2,865279198
255;-3,682391167
272;-4,619944096
289;-5,534722805
306;-6,183398724
323;-6,585212708
340;-6,994771004
357;-7,477786064
374;-7,797501087
391;-7,78319788
408;-7,581020832
425;-7,434177876
442;-7,31017065
459;-6,959641457
476;-6,321997166
493;-5,609699726
510;-4,977754593
527;-4,307916641
544;-3,418124914
561;-2,370306253
578;-1,386310101
595;-0,519525528
612;0,380655557
629;1,402899742
646;2,434644461
663;3,308674574
680;4,022908211
697;4,732942104
714;5,501173973
731;6,177452087
748;6,604907036
765;6,837648869
782;7,04408884
799;7,239146709
